Vmax_A_mol_m2_s,eps_membrane,apical_ratio,Da,clearance_uL_min_cm2
5.623413251903491e-09,0.75,10.0,0.017159997503569526,0.25483786797328456
1e-08,0.75,10.0,0.030515270236917004,0.449775445341121
1.7782794100389228e-08,0.75,10.0,0.05426467675408307,0.7893348711005351
3.162277660168379e-08,0.75,10.0,0.09649775736420368,1.3717990955769657
5.6234132519034905e-08,0.75,10.0,0.17159997503569524,2.3452494619175264
1e-07,0.75,10.0,0.30515270236917,3.9028357475145503
1.7782794100389227e-07,0.75,10.0,0.5426467675408306,6.21932756165352
3.162277660168379e-07,0.75,10.0,0.9649775736420368,9.249133463708013
5.62341325190349e-07,0.75,10.0,1.7159997503569524,12.398008927318465
1e-06,0.75,10.0,3.0515270236917003,14.757188172005714
1.7782794100389227e-06,0.75,10.0,5.426467675408307,16.116706848886793
3.162277660168379e-06,0.75,10.0,9.649775736420368,16.83267941150459
5.623413251903491e-06,0.75,10.0,17.159997503569528,17.21067258691696
9.999999999999999e-06,0.75,10.0,30.515270236917,17.41433495068057
1.778279410038923e-05,0.75,10.0,54.26467675408308,17.525915999956442
3.1622776601683795e-05,0.75,10.0,96.4977573642037,17.587713647776898
5.623413251903491e-05,0.75,10.0,171.59997503569525,17.622162490632263
0.0001,0.75,10.0,305.1527023691701,17.641438461671598
0.00017782794100389227,0.75,10.0,542.6467675408306,17.652247706647632
0.00031622776601683794,0.75,10.0,964.977573642037,17.65831655883718
0.0005623413251903491,0.75,10.0,1715.9997503569527,17.661726277278387
0.001,0.75,10.0,3051.5270236917004,17.663642738708422
1e-09,0.8,10.0,0.0028608065847109693,nan
1.7782794100389228e-09,0.8,10.0,0.0050873134456952875,nan
3.1622776601683795e-09,0.8,10.0,0.009046664752894097,0.14392947043802415
5.623413251903491e-09,0.8,10.0,0.016087497659596432,0.25487305016268896
1e-08,0.8,10.0,0.02860806584710969,0.44988694642156624
1.7782794100389228e-08,0.8,10.0,0.05087313445695288,0.789688876731916
3.162277660168379e-08,0.8,10.0,0.09046664752894096,1.3729266895814596
5.6234132519034905e-08,0.8,10.0,0.16087497659596428,2.348861725149372
1e-07,0.8,10.0,0.28608065847109687,3.9145082376548292
1.7782794100389227e-07,0.8,10.0,0.5087313445695287,6.257256553715978
3.162277660168379e-07,0.8,10.0,0.9046664752894096,9.3683121753546
5.62341325190349e-07,0.8,10.0,1.6087497659596428,12.71262377447651
1e-06,0.8,10.0,2.860806584710969,15.34134952798338
1.7782794100389227e-06,0.8,10.0,5.087313445695288,16.908434958972187
3.162277660168379e-06,0.8,10.0,9.046664752894095,17.7435470878105
5.623413251903491e-06,0.8,10.0,16.08749765959643,18.185351825884137
9.999999999999999e-06,0.8,10.0,28.60806584710969,18.42331018895543
1.778279410038923e-05,0.8,10.0,50.87313445695288,18.553596868913907
3.1622776601683795e-05,0.8,10.0,90.46664752894097,18.625718806296227
5.623413251903491e-05,0.8,10.0,160.87497659596428,18.66591017518295
0.0001,0.8,10.0,286.0806584710969,18.688395132135813
0.00017782794100389227,0.8,10.0,508.73134456952874,18.70100246567378
0.00031622776601683794,0.8,10.0,904.6664752894096,18.708080407687913
0.0005623413251903491,0.8,10.0,1608.7497659596431,18.712056929503046
0.001,0.8,10.0,2860.806584710969,18.714291922253505
1e-09,0.85,10.0,0.002692523844433853,nan
1.7782794100389228e-09,0.85,10.0,0.0047880597135955645,nan
3.1622776601683795e-09,0.85,10.0,0.008514508002723855,0.1439392694754155
5.623413251903491e-09,0.85,10.0,0.015141174267855464,0.25490406166401747
1e-08,0.85,10.0,0.026925238444338532,0.4499851527771025
1.7782794100389228e-08,0.85,10.0,0.047880597135955646,0.7900002474845804
3.162277660168379e-08,0.85,10.0,0.08514508002723854,1.3739161559466704
5.6234132519034905e-08,0.85,10.0,0.15141174267855462,2.3520191414275438
1e-07,0.85,10.0,0.2692523844433853,3.92464974787878
1.7782794100389227e-07,0.85,10.0,0.47880597135955644,6.28997170524706
3.162277660168379e-07,0.85,10.0,0.8514508002723854,9.470973087046367
